"Player","Team","FG","FGA","XPT","FPTS"
"Stephen Gostkowski","NE","31.8","36.8","49.1","144.5"
"Greg Zuerlein","LAR","31.9","36.0","41.3","137.1"
"Justin Tucker","BAL","32.4","36.1","36.2","133.4"
"Chris Boswell","PIT","30.5","34.8","41.3","132.9"
"Matt Bryant","ATL","30.3","34.4","41.0","131.8"
"Harrison Butker","KC","30.9","35.9","38.7","131.4"
"Wil Lutz","NO","27.4","32.2","45.5","127.8"
"Jake Elliott","PHI","28.4","33.2","41.6","126.9"
"Matt Prater","DET","28.5","33.3","38.6","124.2"
"Robbie Gould","SF","30.1","34.0","33.9","124.0"
"Graham Gano","CAR","28.8","33.1","36.4","122.6"
"Mason Crosby","GB","26.0","31.7","43.0","121.1"
"Dan Bailey","DAL","25.9","31.7","41.0","118.8"
"Adam Vinatieri","IND","27.8","32.6","34.7","118.1"
"Josh Lambo","JAC","26.9","30.8","36.6","117.1"
"Ryan Succop","TEN","26.6","31.7","35.9","115.8"
"Caleb Sturgis","LAC","24.7","29.1","38.7","112.8"
"Daniel Carlson","MIN","25.3","31.3","36.0","111.8"
"Phil Dawson","ARI","26.0","31.8","33.4","111.5"
"Sebastian Janikowski","SEA","24.8","30.0","36.6","110.9"
"Chandler Catanzaro","TB","24.8","29.8","34.5","109.0"
"Ka'imi Fairbairn","HOU","24.6","29.9","34.9","108.7"
"Dustin Hopkins","WAS","24.1","30.2","36.2","108.4"
"Brandon McManus","DEN","25.4","32.1","31.2","107.4"
"Steven Hauschka","BUF","25.4","29.5","30.4","106.7"
"Randy Bullock","CIN","22.7","26.5","33.0","101.0"
"Cairo Santos","NYJ","23.1","27.8","31.1","100.5"
"Cody Parkey","CHI","23.1","27.2","30.5","99.8"
"Jason Sanders","MIA","21.9","26.5","32.0","97.5"
"Aldrick Rosas","NYG","22.1","28.6","31.2","97.5"
"Zane Gonzalez","CLE","21.6","27.3","31.3","96.0"
"Kai Forbath","MIN","22.1","26.3","27.6","93.9"
"Eddy Pineiro","OAK","18.9","22.6","30.4","87.2"
"Mike Nugent","OAK","2.2","2.6","11.1","17.5"
"Roberto Aguayo","LAC","2.5","3.0","4.3","11.8"
"Jason Myers","SEA","1.3","1.5","2.2","6.1"
"Marshall Koehn","NYG","0.8","1.0","1.4","3.8"
""
""