"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Aaron Rodgers","GB","588.8","377.9","4,157.1","34.1","9.0","58.9","321.0","2.1","1.9","325.4"
"Tom Brady","NE","587.7","387.5","4,599.7","33.5","8.8","27.7","34.5","0.9","2.0","305.3"
"Russell Wilson","SEA","533.7","328.6","3,829.8","26.4","12.1","91.2","507.4","3.2","2.0","300.4"
"Cam Newton","CAR","512.3","299.6","3,473.2","22.5","14.4","121.8","631.8","5.1","1.6","290.6"
"Drew Brees","NO","570.7","392.5","4,484.6","29.2","12.7","26.7","54.4","1.5","1.8","281.6"
"Deshaun Watson","HOU","508.8","308.2","3,693.8","26.1","16.0","76.2","450.3","3.4","2.2","281.1"
"Carson Wentz","PHI","526.4","324.5","3,815.4","27.5","10.6","67.5","279.6","1.9","2.2","276.4"
"Matthew Stafford","DET","574.3","372.0","4,295.3","26.7","12.2","34.8","129.4","1.0","2.6","267.5"
"Kirk Cousins","MIN","548.6","358.6","4,096.3","25.6","13.4","49.1","158.8","2.6","2.4","266.4"
"Ben Roethlisberger","PIT","574.8","368.2","4,364.7","28.2","15.0","23.6","49.4","0.7","1.7","263.3"
"Alex Smith","WAS","532.8","343.1","3,926.8","23.5","9.0","58.0","265.4","1.7","3.5","262.8"
"Andrew Luck","IND","535.6","335.8","3,866.1","25.5","15.1","55.5","265.0","1.7","1.9","259.5"
"Matt Ryan","ATL","549.0","359.6","4,245.9","25.2","12.1","34.4","112.5","0.7","1.9","257.8"
"Jimmy Garoppolo","SF","571.1","368.4","4,296.2","24.1","12.6","39.8","100.8","1.5","2.2","257.7"
"Philip Rivers","LAC","569.4","354.9","4,303.1","28.2","13.7","19.0","29.2","0.2","2.1","257.4"
"Dak Prescott","DAL","499.5","311.7","3,479.1","21.8","12.7","59.4","333.0","3.8","2.3","252.7"
"Jared Goff","LAR","534.8","325.4","3,943.7","27.0","10.9","29.5","67.7","1.1","2.7","251.8"
"Marcus Mariota","TEN","503.4","310.1","3,571.5","21.5","14.3","65.4","347.5","3.2","2.4","249.1"
"Patrick Mahomes","KC","528.8","334.4","3,840.4","23.6","13.7","56.5","220.0","1.8","2.4","248.9"
"Blake Bortles","JAC","527.9","315.9","3,658.6","21.7","13.2","58.1","325.7","2.3","2.3","248.1"
"Mitch Trubisky","CHI","524.0","315.4","3,535.4","20.3","13.7","58.9","298.1","2.1","2.6","232.6"
"Ryan Tannehill","MIA","552.3","348.3","3,854.4","21.5","14.8","39.8","158.2","1.3","2.2","229.5"
"Andy Dalton","CIN","533.4","322.2","3,651.8","23.6","13.1","40.9","131.2","1.3","2.9","229.5"
"Case Keenum","DEN","553.5","345.7","3,826.0","21.5","12.6","39.4","140.8","1.1","3.0","228.3"
"Derek Carr","OAK","560.7","341.7","3,820.2","24.3","13.1","27.3","67.3","0.5","2.7","227.9"
"Eli Manning","NYG","590.7","361.4","3,889.6","24.5","14.7","15.3","28.1","0.7","2.3","226.6"
"Tyrod Taylor","CLE","444.7","270.3","2,995.8","17.0","8.1","67.0","366.7","3.0","2.7","220.7"
"Jameis Winston","TB","465.8","289.5","3,456.8","20.3","11.8","33.8","132.2","1.2","2.1","212.1"
"Joe Flacco","BAL","542.1","333.1","3,386.0","19.6","13.3","23.2","52.1","1.0","1.4","195.8"
"Sam Bradford","ARI","338.9","219.3","2,413.4","13.5","7.3","12.7","27.9","0.2","1.0","137.7"
"Josh McCown","NYJ","277.7","170.0","1,927.4","10.9","7.2","23.3","87.6","1.0","0.5","120.6"
"AJ McCarron","BUF","274.0","162.2","1,818.0","9.8","7.5","22.4","72.3","0.5","1.2","105.1"
"Josh Rosen","ARI","245.3","150.7","1,718.9","9.0","6.4","13.5","40.7","0.3","1.9","93.7"
"Josh Allen","BUF","235.4","138.2","1,545.3","8.6","8.0","19.2","75.7","0.5","1.1","88.7"
"Sam Darnold","NYJ","234.2","141.0","1,572.5","8.7","8.2","17.4","54.5","0.3","2.3","84.4"
"Ryan Fitzpatrick","TB","126.1","75.9","871.3","4.5","3.1","8.1","34.4","0.2","0.3","50.9"
"Baker Mayfield","CLE","105.3","62.4","713.6","4.1","2.8","10.7","44.1","0.3","0.6","44.3"
"Lamar Jackson","BAL","53.9","31.1","351.0","2.3","1.3","15.2","89.9","0.7","1.3","30.9"
"Nick Foles","PHI","49.2","29.9","350.0","3.0","1.6","4.7","11.6","0.0","0.1","23.9"
"Jacoby Brissett","IND","45.2","26.7","304.8","1.9","1.4","7.0","32.3","0.3","0.0","22.1"
"Teddy Bridgewater","NYJ","59.0","34.4","383.8","2.0","2.0","4.2","15.3","0.0","0.1","20.9"
"Brandon Weeden","HOU","38.6","23.1","262.0","1.5","1.3","2.9","6.6","0.0","0.0","14.8"
"Landry Jones","PIT","35.0","20.7","237.5","1.1","1.1","2.4","8.2","0.0","0.0","13.0"
"Connor Cook","OAK","32.4","19.8","226.5","1.2","1.0","2.3","8.1","0.0","0.0","12.9"
"Blaine Gabbert","TEN","33.0","19.1","212.9","1.3","1.1","2.0","8.0","0.0","0.0","12.5"
"David Fales","MIA","33.1","19.2","212.4","1.1","1.2","2.7","10.6","0.0","0.0","11.8"
"Nathan Peterman","BUF","24.0","13.5","140.0","1.0","0.5","1.5","5.0","0.1","0.2","9.0"
"Chase Daniel","CHI","20.8","12.9","146.9","0.8","0.2","1.2","2.4","0.0","0.0","8.9"
"Matt Barkley","CIN","23.6","14.2","163.3","0.7","0.6","1.2","3.6","0.0","0.0","8.8"
"Davis Webb","NYG","21.6","12.7","151.2","0.6","0.5","1.2","3.8","0.0","0.1","7.8"
"Jake Rudock","DET","23.1","12.7","147.5","0.6","0.8","1.2","4.6","0.0","0.0","7.3"
"Colt McCoy","WAS","17.6","10.6","123.3","0.6","0.5","1.5","4.6","0.0","0.0","6.9"
"Brett Hundley","GB","15.6","8.8","97.3","0.5","0.6","2.0","10.0","0.0","0.1","6.1"
"Paxton Lynch","DEN","16.4","9.5","104.0","0.5","0.5","1.3","7.3","0.0","0.0","6.0"
"C.J. Beathard","SF","16.6","9.8","107.0","0.3","0.3","1.4","6.9","0.0","0.0","5.9"
"Austin Davis","SEA","16.3","9.8","110.2","0.4","0.3","0.8","2.3","0.0","0.0","5.7"
"Cooper Rush","DAL","13.3","7.5","84.7","0.4","0.3","1.7","8.9","0.0","0.0","5.6"
"Trevor Siemian","MIN","14.3","8.8","97.0","0.3","0.3","1.3","6.1","0.0","0.0","5.4"
"Ryan Griffin","HOU","16.3","8.7","100.1","0.5","0.5","1.0","3.6","0.0","0.1","5.2"
"Cody Kessler","JAC","13.6","7.9","88.7","0.5","0.3","0.9","2.3","0.0","0.0","5.1"
"Brock Osweiler","MIA","15.4","9.1","102.4","0.4","0.4","0.4","2.1","0.0","0.0","5.1"
"Tom Savage","NO","14.1","8.6","91.0","0.3","0.4","1.2","2.9","0.0","0.0","4.7"
"Chad Henne","KC","13.2","8.0","90.4","0.3","0.5","1.1","2.4","0.0","0.0","4.2"
"Brian Hoyer","NE","10.3","5.9","71.3","0.4","0.2","0.7","2.0","0.0","0.0","4.2"
"DeShone Kizer","GB","9.8","5.8","64.3","0.2","0.2","1.5","7.0","0.0","0.0","3.8"
"Sean Mannion","LAR","12.0","6.8","74.7","0.2","0.3","2.0","3.5","0.0","0.0","3.7"
"Mason Rudolph","PIT","8.8","5.3","60.8","0.4","0.3","0.3","1.2","0.0","0.0","3.6"
"Matt Schaub","ATL","9.1","5.7","67.8","0.3","0.2","0.6","1.0","0.0","0.0","3.6"
"Geno Smith","LAC","11.3","6.2","69.9","0.2","0.3","1.0","3.0","0.0","0.0","3.3"
"EJ Manuel","OAK","9.6","5.3","62.5","0.2","0.2","0.6","3.7","0.0","0.0","3.2"
"Taylor Heinicke","CAR","9.3","5.3","59.7","0.2","0.1","0.3","0.3","0.0","0.0","3.2"
"Matt Cassel","DET","2.0","1.3","11.5","0.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Mike White","DAL","1.3","0.8","10.2","0.1","0.1","0.1","0.2","0.0","0.0","0.5"
"Kevin Hogan","WAS","1.0","1.0","9.5","0.0","0.0","0.0","1.0","0.0","0.0","0.5"
"Robert Griffin","BAL","1.0","0.5","5.5","0.0","0.0","0.5","1.5","0.0","0.0","0.4"
"Alex McGough","SEA","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Danny Etling","NE","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Garrett Gilbert","CAR","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Tanner Lee","JAC","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Kyle Lauletta","NYG","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Luke Falk","TEN","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Logan Woodside","CIN","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Taysom Hill","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jameill Showers","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Drew Stanton","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt McGloin","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Sudfeld","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Glennon","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Petty","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Callahan","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""